NGO;Acronym;Activities.Area;First Presence;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
INTERNATIONAL FEDERATION OF CHRISTIAN TRADE UNIONS;;Social;1958;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INTERNATIONAL FEDERATION OF INDUSTRIAL PRODUCERS OF ELECTRICITY FOR OWN CONSUMPTION;FEPACE;Industry;1960;;;;1;2;2;1;3;;2;2;1;1;1;;;;1;1;;2;1;;1;1;1;1;1;1;1;1;1;1;?;;1;?;;;;;;;;;;;;;;;;;;
INTERNATIONAL INSTITUTE FOR APPLIED SYSTEMS ANALYSIS;IIASA;Science and Research;1977;;;;;;;;;;;;;;;;;;;;;4;2;;2;;1;1;1;2;2;1;1;?;1;1;?;?;1;1;2;2;1;1;1;1;1;1;3;2;2;;2;2;2;2
INTERNATIONAL IRRADIATION ASSOCIATION;IIA;Industry;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;
INTERNATIONAL NUCLEAR ENERGY ACADEMY;INEA;Science and Research;1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;3;;4;3;5;7;3;5;7;3;;3;3;3;3
INTERNATIONAL NUCLEAR LAW ASSOCIATION;INLA;Science and Research;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;1;1;1;;1;1;1;1
INTERNATIONAL NUCLEAR SOCIETIES COUNCIL;INSC;Professional Association;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;1;4;;4;4;3;;1;2;2;1;;1;2;1;1
INTERNATIONAL ORGANIZATION FOR MEDICAL PHYSICS;;Science and Research;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
INTERNATIONAL ORGANIZATION FOR STANDARDIZATION;ISO;IO;1958;;1;1;;1;1;2;2;;;;2;4;;1;;1;;;;1;;1;2;3;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;2;1;;1;1;;1;1;;1;1;1;1
INTERNATIONAL RADIATION PROTECTION ASSOCIATION;IRPA;Professional Association;1988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;;1;2;1;;3;;;;;;;;;;;;
INTERNATIONAL SOCIETY OF RADIOGRAPHERS AND RADIOLOGICAL TECHNOLOGISTS;;Professional Association;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
INTERNATIONAL SOCIETY OF RADIOLOGY;;Science and Research;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
INTERNATIONAL SOURCE SUPPLIERS AND PRODUCERS ASSOCIATION;ISSPA;Industry;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;2;2;2
INTERNATIONAL TRADE UNION CONFEDERATION;ITUC;Social;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1
INTERNATIONAL UNION FOR INLAND NAVIGATION;;Professional Association;1960;;;;1;1;2;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
