Year;Articles;Transparency
1980;1;0
1981;0;0
1982;0;0
1983;2;0
1984;1;0
1985;0;0
1986;14;3
1987;1;0
1988;2;0
1989;1;0
1990;2;0
1991;2;1
1992;9;1
1993;3;0
1994;23;2
1995;5;1
1996;2;0
1997;0;0
1998;8;1
1999;14;0
2000;13;0
2001;11;0
2002;13;0
2003;43;11
2004;79;47
2005;43;7
2006;46;9
2007;65;12
2008;43;8
2009;60;17
2010;36;17
2011;76;23
2012;51;6
